time_s,NITROGEN_TANK_PT,IPA_TANK_PT,LOX_TANK_PT,LOX_LINE_PT,IPA_LINE_PT,LOX_VENTURI_1_PT,LOX_VENTURI_2_PT,IPA_VENTURI_1_PT,IPA_VENTURI_2_PT,CHAMBER_PT,IGNITER_PT,PFM_PT,POM_PT
1777067600.415322,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.3,174.9,-176.7,175.2,-175.5
1777067601.414848,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.3,174.9,-176.7,175.2,-175.5
1777067601.414864,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.3,174.9,-176.7,175.2,-175.5
1777067601.414873,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.3,174.9,-176.7,175.2,-175.5
1777067601.414891,0.0,,-375.0,-375.0,-375.0,-375.0,-175.8,176.5,-176.3,174.9,-176.7,175.2,-175.5
1777067601.414900,0.0,,-375.0,-375.0,-375.0,-375.0,-175.8,176.5,-176.0,174.9,-176.7,175.2,-175.5
1777067601.414911,0.0,,-375.0,-375.0,-375.0,-375.0,-175.8,176.5,-176.0,174.9,-177.0,175.2,-175.5
1777067601.414919,0.0,,-375.0,-375.0,-375.0,-375.0,-175.8,176.5,-176.0,174.9,-177.0,175.2,-174.7
1777067602.414207,0.0,,-375.0,-375.0,-375.0,-375.0,-175.8,176.5,-176.0,174.9,-177.0,175.2,-174.7
1777067602.415094,0.0,,-374.9,-375.0,-375.0,-375.0,-175.8,176.5,-176.0,174.9,-177.0,175.2,-174.7
1777067602.415108,0.0,,-374.9,-375.0,-375.0,-375.0,-175.8,176.5,-176.0,174.9,-177.0,175.2,-174.7
1777067602.415118,0.0,,-374.9,-375.0,-375.0,-375.0,-176.4,176.5,-176.0,174.9,-177.0,175.2,-174.7
1777067602.415128,0.0,,-374.9,-375.0,-375.0,-375.0,-176.4,176.5,-175.7,174.9,-177.0,175.2,-174.7
1777067602.415136,0.0,,-374.9,-375.0,-375.0,-375.0,-176.4,176.5,-175.7,174.9,-177.0,175.2,-174.7
1777067602.415145,0.0,,-374.9,-375.0,-375.0,-375.0,-176.4,176.5,-175.7,174.9,-177.0,175.2,-174.7
1777067603.416681,0.0,,-374.9,-375.0,-375.0,-375.0,-176.4,176.5,-175.7,174.9,-177.0,175.2,-174.7
1777067603.416699,0.0,,-375.0,-375.0,-375.0,-375.0,-176.4,176.5,-175.7,174.9,-177.0,175.2,-174.7
1777067603.416711,0.0,,-375.0,-375.0,-375.0,-375.0,-176.4,176.5,-175.7,174.9,-177.0,175.2,-174.7
1777067603.416722,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-175.7,174.9,-177.0,175.2,-174.7
1777067603.416731,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.0,174.9,-177.0,175.2,-174.7
1777067603.418531,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.0,174.9,-177.0,175.2,-174.7
1777067603.418546,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.0,174.9,-177.0,175.1,-174.7
1777067604.417014,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.0,174.9,-177.0,175.1,-174.7
1777067604.417033,0.0,,-375.0,-375.0,-375.0,-375.0,-175.2,176.5,-176.0,174.9,-177.0,175.1,-174.7
